"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"JH-2-009","Chr8","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.28196,0.478,0.947,1646,0.977,"VCAN, CADM1, GLG1, NEO1, ITGB8, HLA-A, HLA-B, ICOSLG, ITGB1, PTPRM, SDC2",0.0236500209967266,0.0101054362812269,FALSE
"JH-2-009","Chr8","KEGG_CELL_CYCLE",0.53585,0.9,0.606,901,0.866,"CDC27, STAG2, CREBBP, YWHAE, CCND2, CUL1, SMAD4, CCND1, CDK4, CDK6, E2F3, SKP1, STAG1, GSK3B, HDAC2, MCM4",0.217527375833714,0.0624821079826534,FALSE
"JH-2-009","Chr8","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.62504,1.04,0.449,402,1,"CRK, CDC42, PIK3CA, RAP1B, ADCY9, PIK3R3, AKT3",0.347753658996677,0,FALSE
"JH-2-009","Chr8","KEGG_CHRONIC_MYELOID_LEUKEMIA",0.58238,0.982,0.518,667,0.916,"CRK, PIK3CA, PIK3R3, MECOM, AKT3, SMAD4, CCND1, CDK4, CDK6, E2F3",0.285670240254767,0.0381045263321496,FALSE
"JH-2-009","Chr8","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.58751,0.987,0.511,161,0.966,"OGDH",0.291579099865287,0.0150228735845067,FALSE
"JH-2-009","Chr8","KEGG_COLORECTAL_CANCER",0.62499,1.04,0.472,898,1,"APC, TCF7L2, PIK3CA, PIK3R3, AKT3, TCF7, CTNNB1, RHOA, SMAD4, CCND1, BRAF, GSK3B, MAPK8, MAPK9",0.326058001365912,0,FALSE
"JH-2-009","Chr8","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.53505,0.902,0.617,1190,0.874,"CD46, CD55, THBD, C1R, CD59",0.209714835966758,0.058488567365597,FALSE
"JH-2-009","Chr8","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.70983,1.21,0.291,889,1,"MAT2A, AHCYL1, DNMT3A, AMD1, LDHA, LDHB",0.536107011014093,0,FALSE
"JH-2-009","Chr8","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.32055,0.537,0.91,938,0.989,"EGFR, BMPR2, PDGFRB, PDGFRA",0.0409586076789064,0.0048037084028206,FALSE
"JH-2-009","Chr8","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.23583,0.395,0.972,519,0.983,"ADAR",0.0123337350737254,0.00744648216786438,FALSE
"JH-2-009","Chr8","KEGG_DILATED_CARDIOMYOPATHY",0.64671,1.09,0.416,395,1,"GNAS, ACTB, ACTG1, ADCY9, CACNA1D, TPM1",0.380906669373257,0,FALSE
"JH-2-009","Chr8","KEGG_DNA_REPLICATION",-0.24951,-0.884,0.645,3009,0.632,"MCM3, MCM5, PCNA, POLA1, POLD3, RFC1",0.190440285364732,0.199282921717615,FALSE
"JH-2-009","Chr8","KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.52032,0.867,0.636,618,0.873,"EGFR, NOTCH2",0.196542884351586,0.0589857562944303,FALSE
"JH-2-009","Chr8","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.363,-1.27,0.196,3927,0.662,"TK1, TK2, UCK1, UCK2",0.707743928643524,0.1791420105603,FALSE
"JH-2-009","Chr8","KEGG_ECM_RECEPTOR_INTERACTION",0.73389,1.24,0.252,653,1,"COL1A2, COL1A1, FN1, COL3A1, COL6A3, COL5A2, COL5A1, LAMC1, COL6A2, TNC, LAMB1, THBS4, COL11A1, COL4A2",0.598599459218456,0,FALSE
"JH-2-009","Chr8","KEGG_ENDOCYTOSIS",0.45224,0.771,0.724,608,0.932,"CDC42, EGFR, RAB11A, HSPA8, ASAP1, SH3KBP1, CLTC, DNM1, WWP1",0.140261433802853,0.0305840876460186,FALSE
"JH-2-009","Chr8","KEGG_ENDOMETRIAL_CANCER",0.73188,1.22,0.264,463,1,"APC, PTEN, EGFR, TCF7L2, PIK3CA, PIK3R3, AKT3, TCF7, CTNNB1",0.578396073130169,0,FALSE
"JH-2-009","Chr8","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.6178,1.03,0.471,224,0.976,"CDC42, MAP2K4, EGFR",0.326979092871104,0.0105501823333082,FALSE
"JH-2-009","Chr8","KEGG_ERBB_SIGNALING_PATHWAY",0.67296,1.12,0.4,402,1,"RPS6KB1, CRK, MAP2K4, EGFR, PIK3CA, PIK3R3, AKT3",0.397940008672038,0,FALSE
"JH-2-009","Chr8","KEGG_FATTY_ACID_METABOLISM",0.55418,0.923,0.605,1911,0.912,"ACSL4, ACSL3, ACADM, ACAT1, ACOX1, ALDH9A1",0.218244625347531,0.0400051616715838,FALSE
"JH-2-009","Chr8","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.68356,1.15,0.339,402,1,"FYN, MAP2K4, PIK3CA, PIK3R3, AKT3",0.469800301796918,0,FALSE
"JH-2-009","Chr8","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.77828,1.3,0.188,404,1,"RPS6KB1, CRK, MARCKS, CDC42, PIK3CA, GSN, PIK3R3, ARPC2, AKT3, ASAP1",0.72584215073632,0,FALSE
"JH-2-009","Chr8","KEGG_FOCAL_ADHESION",0.71813,1.22,0.291,485,1,"PPP1CC, COL1A2, COL1A1, FYN, CRK, PTEN, CDC42, FN1, COL3A1, COL6A3, ACTB, ACTG1, EGFR, PIK3CA, RAP1B, COL5A2, COL5A1, FLNA, LAMC1, PIK3R3, COL6A2, AKT3, TNC, CCND2, CTNNB1, LAMB1",0.536107011014093,0,FALSE
"JH-2-009","Chr8","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.42434,0.706,0.788,860,0.996,"TPI1, ALDOA, HK2",0.103473782510445,0.00174066157630127,FALSE
"JH-2-009","Chr8","KEGG_GAP_JUNCTION",0.5302,0.891,0.617,1048,0.869,"GNAS, EGFR, ADCY9, TJP1, TUBA1B, TUBA1A, PDGFRB, TUBB, TUBA1C, CSNK1D, PDGFRA, PLCB1, TUBB6",0.209714835966758,0.0609802235513335,FALSE
"JH-2-009","Chr8","KEGG_GLIOMA",0.66117,1.1,0.407,702,1,"PTEN, EGFR, PIK3CA, PIK3R3, CALM1, CALM2, AKT3, CALM3, CCND1, CDK4, CDK6, E2F3, PDGFRB",0.39040559077478,0,FALSE
"JH-2-009","Chr8","KEGG_GLUTATHIONE_METABOLISM",-0.35412,-1.18,0.222,2678,0.529,"GSTA4, GSTO1, GSTP1, IDH2, ODC1, PGD, RRM1, SRM",0.653647025549361,0.276544327964814,FALSE
"JH-2-009","Chr8","KEGG_GLYCEROLIPID_METABOLISM",0.30371,0.511,0.933,1911,0.986,"DGKZ, TKFC, AKR1A1, ALDH9A1",0.0301183562535,0.0061230850587888,FALSE
"JH-2-009","Chr8","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",-0.29325,-1.03,0.404,1251,0.543,"DGKZ, PCYT1A, CDS1, CHKA, ETNK1, GPD1L, LPGAT1, LYPLA1, LYPLA2, MBOAT1, PLA2G15, PLA2G6, PTDSS2",0.393618634889395,0.265200170411153,FALSE
"JH-2-009","Chr8","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.70765,1.2,0.296,889,1,"GAPDH, PKM, GPI, PGK1, ENO1, TPI1, ALDOA, HK2, LDHA, LDHB",0.528708288941061,0,FALSE
"JH-2-009","Chr8","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.95982,1.58,0.0377,27,1,"EXT1",1.42365864979421,0,FALSE
"JH-2-009","Chr8","KEGG_GNRH_SIGNALING_PATHWAY",0.6927,1.14,0.35,368,1,"CDC42, GNAS, MAP2K4, EGFR, ADCY9, CACNA1D, MAP3K3, CALM1, CALM2",0.455931955649724,0,FALSE
"JH-2-009","Chr8","KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.83965,1.4,0.124,237,1,"CSNK1A1, PTCH1, CSNK1A1L",0.906578314837765,0,FALSE
"JH-2-009","Chr8","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.29192,0.491,0.941,2115,0.979,"CD55, CD59, IL1R1, ANPEP, CD14, CD3E, CD44",0.0264103765727431,0.00921730819686218,FALSE
"JH-2-009","Chr8","KEGG_HUNTINGTONS_DISEASE",0.41846,0.698,0.792,1014,0.994,"MT-CO1, CREBBP, CREB1, POLR2B, CLTC, MT-CO2, MT-CO3, DCTN4, HDAC2, PLCB1, SIN3A, SP1",0.101274818410506,0.00261361560268669,FALSE
"JH-2-009","Chr8","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.54088,0.927,0.572,884,0.919,"ACTB, ACTG1, CACNA1D, TPM1, DMD, ITGB8, LAMA2",0.242603971206976,0.0366844886138887,FALSE
"JH-2-009","Chr8","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.66611,1.13,0.36,261,1,"PTEN, PIK3CA",0.443697499232713,0,FALSE
"JH-2-009","Chr8","KEGG_INSULIN_SIGNALING_PATHWAY",0.62807,1.07,0.434,986,1,"PPP1CC, RPS6KB1, CRK, PIK3CA, PIK3R3, CALM1, CALM2, AKT3, PRKAR1A, CALM3, EIF4E2, PDPK1, BRAF, GSK3B, HK2, MAPK8, MAPK9, PHKA2, PPP1CA, RPS6",0.362510270487489,0,FALSE
"JH-2-009","Chr8","KEGG_JAK_STAT_SIGNALING_PATHWAY",0.46615,0.781,0.709,735,0.941,"CREBBP, PIK3CA, PIK3R3, AKT3, CCND2, PIAS1, CCND1, PIAS2, SPRED1",0.149353764816933,0.0264103765727431,FALSE
"JH-2-009","Chr8","KEGG_LEISHMANIA_INFECTION",-0.32802,-1.2,0.237,1398,0.619,"ITGB1, JUN, TAB2, ELK1, FOS, HLA-DQA1, IFNGR1, IRAK1, ITGA4, ITGB2, MAPK1, MAPK13, MAPK14, NCF2, STAT1, TGFB2, TGFB3",0.625251653989896,0.208309350979882,FALSE
"JH-2-009","Chr8","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.59436,0.993,0.521,656,0.986,"CDC42, ACTB, ACTG1, PIK3CA, RAP1B, PIK3R3, CTNNB1, RHOA, CTNNA1",0.283162276700476,0.0061230850587888,FALSE
"JH-2-009","Chr8","KEGG_LONG_TERM_DEPRESSION",0.42383,0.695,0.814,1582,0.976,"GNAS, GRIA3, PPP2CA, BRAF, PLCB1, GNAI2, IGF1R, ITPR3, PPP2R1A, RAF1",0.0893755951107988,0.0105501823333082,FALSE
"JH-2-009","Chr8","KEGG_LONG_TERM_POTENTIATION",0.65902,1.1,0.377,952,1,"PPP1CC, CREBBP, PPP3R1, RAP1B, CALM1, CALM2, PPP3CB, RPS6KA3, CALM3, BRAF, CAMK4, PLCB1, PPP1CA, PPP1R12A",0.423658649794207,0,FALSE
"JH-2-009","Chr8","KEGG_LYSINE_DEGRADATION",0.49348,0.832,0.689,1415,0.909,"OGDH, ASH1L, NSD1, NSD3, AASDH, DOT1L, EHMT2, KMT5B",0.161780778092374,0.0414361167780325,FALSE
"JH-2-009","Chr8","KEGG_LYSOSOME",0.29202,0.497,0.931,1552,0.985,"CLTC, LAPTM4A, CTSB, PSAP, AP3B1, CTSL, AP3S1, CD164, CTSK, LAMP2, MAN2B1, PPT1",0.0310503190186574,0.00656376950238827,FALSE
"JH-2-009","Chr8","KEGG_MAPK_SIGNALING_PATHWAY",0.62907,1.07,0.428,427,1,"CRK, CDC42, SRF, MAP4K4, MAP2K4, MEF2C, EGFR, TAOK1, PPP3R1, RAP1B, CACNA1D, HSPA8, FLNA, MAP3K3, MECOM, AKT3, PPP3CB",0.368556230986828,0,FALSE
"JH-2-009","Chr8","KEGG_MELANOGENESIS",0.63754,1.05,0.452,463,1,"GNAS, CREBBP, TCF7L2, ADCY9, CREB1, FZD2, CALM1, CALM2, TCF7, CTNNB1",0.344861565188618,0,FALSE
"JH-2-009","Chr8","KEGG_MELANOMA",0.66711,1.1,0.41,788,1,"PTEN, EGFR, PIK3CA, PIK3R3, AKT3, CCND1, CDK4, CDK6, E2F3, FGF2, PDGFRB, BRAF",0.387216143280265,0,FALSE
"JH-2-009","Chr8","KEGG_MISMATCH_REPAIR",-0.42994,-1.47,0.0769,3059,1,"MLH1, MSH6, PCNA, POLD3, RFC1",1.11407366019857,0,FALSE
"JH-2-009","Chr8","KEGG_MTOR_SIGNALING_PATHWAY",0.69918,1.18,0.326,788,1,"RPS6KB1, HIF1A, PIK3CA, PIK3R3, AKT3, EIF4B, RPS6KA3, EIF4E2, PDPK1, BRAF",0.486782399932061,0,FALSE
"JH-2-009","Chr8","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.67969,1.14,0.363,427,1,"NFAT5, FYN, PIK3CA, PPP3R1, PIK3R3, PPP3CB",0.440093374963888,0,FALSE
"JH-2-009","Chr8","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.58846,0.987,0.516,552,0.966,"THRA, GRIA3",0.287350298372789,0.0150228735845067,FALSE
"JH-2-009","Chr8","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.63574,1.05,0.446,898,1,"CRK, CDC42, PIK3CA, RAP1B, YWHAE, MAP3K3, PIK3R3, CALM1, CALM2, AKT3, MAGED1, RHOA, RPS6KA3, CALM3, PDPK1, BRAF, CAMK4, GSK3B, KIDINS220, MAPK8, MAPK9",0.350665141287858,0,FALSE
"JH-2-009","Chr8","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.38623,0.648,0.841,915,0.991,"NNT, NAMPT",0.0752040042020878,0.00392634551472468,FALSE
"JH-2-009","Chr8","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.33371,0.555,0.896,1300,1,"HSP90B1, HSP90AB1, MAPK8, MAPK9, BIRC2, CARD8, ERBIN",0.0476919903378748,0,FALSE
"JH-2-009","Chr8","KEGG_NON_SMALL_CELL_LUNG_CANCER",0.57943,0.96,0.539,988,0.902,"EGFR, PIK3CA, PIK3R3, AKT3, CCND1, CDK4, CDK6, E2F3, PDPK1, BRAF, RARB, RXRA",0.268411234813261,0.0447934624580583,FALSE
"JH-2-009","Chr8","KEGG_NOTCH_SIGNALING_PATHWAY",0.41024,0.696,0.788,1502,0.985,"CREBBP, NOTCH2, HDAC2, APH1A, MAML1, MAML3, NCOR2, NOTCH3",0.103473782510445,0.00656376950238827,FALSE
"JH-2-009","Chr8","KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.33217,0.571,0.884,1542,1,"RAD23B, ERCC1, CCNH, DDB1, GTF2H5, POLE",0.0535477349869269,0,FALSE
"JH-2-009","Chr8","KEGG_N_GLYCAN_BIOSYNTHESIS",-0.27055,-1,0.42,1152,0.524,"B4GALT3, MAN2A1, MGAT5, TUSC3, ALG10, ALG10B, ALG11, ALG13, ALG9, DAD1, DDOST, FUT8, GANAB, MAN1A1, MAN1A2, MGAT1, MGAT2, MOGS, RPN2, ST6GAL1, STT3A",0.3767507096021,0.280668713016273,FALSE
"JH-2-009","Chr8","KEGG_OLFACTORY_TRANSDUCTION",0.59183,0.984,0.522,639,0.942,"CALM1, CALM2, CALM3",0.282329496997738,0.0259490972071227,FALSE
"JH-2-009","Chr8","KEGG_OOCYTE_MEIOSIS",0.65773,1.11,0.392,731,1,"PPP1CC, CDC27, PPP3R1, YWHAE, ADCY9, CALM1, CALM2, PPP3CB, CUL1, RPS6KA3, CALM3, PPP2CA, PPP2R5E, SKP1",0.406713932979543,0,FALSE
"JH-2-009","Chr8","KEGG_OXIDATIVE_PHOSPHORYLATION",0.3686,0.62,0.865,1491,1,"MT-CO1, MT-CO2, MT-CO3, MT-ND4, MT-ND5, ATP6V0E1, ATP6V1B2, ATP6V1D, MT-CYB, NDUFB10, NDUFS1",0.0629838925351858,0,FALSE
"JH-2-009","Chr8","KEGG_P53_SIGNALING_PATHWAY",0.68256,1.14,0.369,694,1,"PTEN, CCND2, CCND1, CDK4, CDK6, MDM4",0.43297363384094,0,FALSE
"JH-2-009","Chr8","KEGG_PANCREATIC_CANCER",0.58719,0.975,0.552,898,0.902,"CDC42, EGFR, PIK3CA, PIK3R3, AKT3, SMAD4, CCND1, CDK4, CDK6, E2F3, BRAF, MAPK8, MAPK9",0.258060922270801,0.0447934624580583,FALSE
"JH-2-009","Chr8","KEGG_PARKINSONS_DISEASE",0.32183,0.547,0.897,909,0.992,"MT-CO1, MT-CO2, MT-CO3, MT-ND4, MT-ND5",0.0472075569559079,0.00348832784582135,FALSE
"JH-2-009","Chr8","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.71082,1.19,0.302,834,1,"FYN, CDC42, ACTB, ACTG1, ARPC2, CTNNB1, RHOA, TUBA1B, TUBA1A, TUBB, TUBA1C, EZR",0.519993057042849,0,FALSE
"JH-2-009","Chr8","KEGG_PATHWAYS_IN_CANCER",0.60319,1,0.501,705,0.988,"APC, PTCH1, CRK, PTEN, CDC42, FN1, EGFR, CREBBP, HIF1A, TCF7L2, PIK3CA, FZD2, LAMC1, PIK3R3, MECOM, AKT3, TCF7, CTNNB1, HSP90B1, LAMB1, PIAS1, RHOA, SMAD4, HSP90AB1, CCND1, CDK4, CDK6, COL4A2, CTNNA1, E2F3, FGF2, GLI2, PDGFRB, PIAS2",0.300162274132754,0.00524305541237188,FALSE
"JH-2-009","Chr8","KEGG_PEROXISOME",0.38332,0.652,0.82,1099,0.998,"FAR1, ACSL4, PRDX1, ACSL3",0.0861861476162833,0.000869458712628891,FALSE
"JH-2-009","Chr8","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.65516,1.08,0.406,368,1,"PTEN, PIK3CA, PIK3R3, CALM1, CALM2",0.391473966422806,0,FALSE
"JH-2-009","Chr8","KEGG_PPAR_SIGNALING_PATHWAY",0.58244,0.973,0.526,1099,0.892,"UBC, ACSL4, PDPK1, RXRA, ACSL3",0.279014255846261,0.0496351456238769,FALSE
"JH-2-009","Chr8","KEGG_PRION_DISEASES",0.75698,1.24,0.256,347,1,"FYN, LAMC1",0.59176003468815,0,FALSE
"JH-2-009","Chr8","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.55499,0.92,0.584,898,0.893,"CDC27, PIK3CA, ADCY9, PIK3R3, AKT3, RPS6KA3, HSP90AB1, BRAF, MAPK8, MAPK9",0.233587152887601,0.0491485411114536,FALSE
"JH-2-009","Chr8","KEGG_PROPANOATE_METABOLISM",0.26805,0.448,0.958,1911,0.973,"LDHA, LDHB, ACACA, ACADM, ACAT1, ALDH9A1",0.0186344909214556,0.0118871597316481,FALSE
"JH-2-009","Chr8","KEGG_PROSTATE_CANCER",0.65051,1.08,0.422,703,1,"PTEN, EGFR, CREBBP, TCF7L2, PIK3CA, CREB1, PIK3R3, AKT3, TCF7, CTNNB1, HSP90B1, HSP90AB1, CCND1, E2F3, PDGFRB, PDPK1",0.374687549038326,0,FALSE
"JH-2-009","Chr8","KEGG_PROTEASOME",0.5247,0.874,0.637,712,0.873,"PSMD14, PSMD2, SEM1, PSMA6, PSMC1, PSMD11",0.19586056766465,0.0589857562944303,FALSE
"JH-2-009","Chr8","KEGG_PROTEIN_EXPORT",0.39149,0.665,0.83,1705,0.995,"SEC61A1, SRP68, HSPA5, SEC61A2, SEC63, SRP72",0.0809219076239261,0.00217691925427455,FALSE
"JH-2-009","Chr8","KEGG_PURINE_METABOLISM",0.26723,0.45,0.964,923,0.981,"ADCY9, PKM, POLR2B, PDE10A, IMPDH2, NME1",0.0159229660971692,0.0083309926200515,FALSE
"JH-2-009","Chr8","KEGG_PYRIMIDINE_METABOLISM",-0.31655,-1.15,0.205,3175,0.488,"NME3, NT5C2, NT5C3A, PNP, PNPT1, POLA1, POLD3, POLR1A, POLR1B, POLR2D, POLR2H, POLR2J2, POLR3A, POLR3D, POLR3H, RRM1, TK1, TK2, UCK1, UCK2",0.688246138944246,0.311580177997289,FALSE
"JH-2-009","Chr8","KEGG_PYRUVATE_METABOLISM",0.56242,0.951,0.555,902,0.892,"PKM, LDHA, LDHB, MDH1",0.255707016877324,0.0496351456238769,FALSE
"JH-2-009","Chr8","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.72529,1.22,0.285,366,1,"PPP1CC, APC, CRK, PFN1, CDC42, FN1, ACTB, ACTG1, EGFR, PIK3CA, GSN, PFN2, TMSB4X, ABI2, PIK3R3, ARPC2",0.54515513999149,0,FALSE
"JH-2-009","Chr8","KEGG_REGULATION_OF_AUTOPHAGY",0.23464,0.392,0.98,1992,0.976,"ATG12, BECN1, ATG4A, ATG5",0.00877392430750515,0.0105501823333082,FALSE
"JH-2-009","Chr8","KEGG_RENAL_CELL_CARCINOMA",0.73968,1.24,0.283,402,1,"CRK, CDC42, CREBBP, HIF1A, PIK3CA, RAP1B, PIK3R3, AKT3",0.54821356447571,0,FALSE
"JH-2-009","Chr8","KEGG_RIBOSOME",0.58916,0.986,0.517,987,0.953,"RPL13A, RPLP0, RPL4, RPL31, RPL12, RPL13, RPL23, RPL41, RPS11, RPS18, RPS23, RPL19, RPS3, RPS4X, RPL10, RPL17, RPL18A, RPL37A, RPL5, RPL7, RPS8, RPL21, RPL3, RPLP1, RPS2, RPS27A, RPS3A, RPL15, RPL26, RPL32, RPL38, RPL6, RPL7A, RPL9, RPLP2, RPS17, RPS20, RPS6, RPS7",0.286509456906058,0.0209070993616736,FALSE
"JH-2-009","Chr8","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.88576,1.46,0.0768,18,1,"DDX3X",1.11463877996849,0,FALSE
"JH-2-009","Chr8","KEGG_RNA_DEGRADATION",0.75569,1.28,0.224,223,1,"CNOT2, PAPOLA, CNOT6L, CNOT1",0.649751981665837,0,FALSE
"JH-2-009","Chr8","KEGG_RNA_POLYMERASE",-0.36745,-1.28,0.137,3400,0.963,"POLR1A, POLR1B, POLR2D, POLR2H, POLR2J2, POLR3A, POLR3D, POLR3H",0.863279432843593,0.0163737128754655,FALSE
"JH-2-009","Chr8","KEGG_SMALL_CELL_LUNG_CANCER",0.65224,1.1,0.408,705,1,"PTEN, FN1, PIK3CA, LAMC1, PIK3R3, AKT3, LAMB1, PIAS1, CCND1, CDK4, CDK6, COL4A2, E2F3, PIAS2",0.38933983691012,0,FALSE
